id,materia,contenido,correcto,tiempoRespuesta,comuna,nivel,fecha
0TVwiCoyEmvwao31CKOb,matematica,numeracion,true,12.3,Comuna 9,7p,2026-08-28T22:31:09.072Z
0W74NDClll9rNdh5nXJK,ingles,vocabulario-animales,true,1.2,Comuna 10,5p,2026-08-26T13:17:12.433Z
0ZmlJy8fmFNj9AWArJtr,ingles,vocabulario-animales,false,4.3,Comuna 10,6p,2026-08-26T13:14:28.523Z
0i5EUhbNkZXUcVqyLEM9,geografia,continentes,true,2.2,Comuna 10,6p,2026-08-26T13:09:59.366Z
0pvncUapRn79yapakuxH,ciencias,planetas,false,1.5,Comuna 15,5p,2026-08-31T14:59:10.733Z
18RX1FRV1nJ7NlgsvK0t,musica,instrumentos-teclado,true,28.4,Comuna 9,7p,2026-08-28T22:29:21.476Z
1BT5yoztND2gksV7OfDL,musica,instrumentos-cuerda,true,1.3,Comuna 5,7p,2026-08-31T15:00:55.708Z
1HsczTw8kkWB9D87uKL4,ingles,vocabulario-sustantivos,true,1.2,Comuna 10,7p,2026-08-26T13:12:55.057Z
1WwfNSyi0AcMe9VJE1mF,geografia,continentes,true,2.7,Comuna 10,6p,2026-08-26T13:09:43.666Z
1bxVi5jFWnYGLXNMoNy5,lengua,clasificacion-adjetivo,false,1.1,Comuna 12,6p,2026-08-31T15:02:23.128Z
1vYOqwxKurNwXgegMTRQ,lengua,clasificacion-sustantivo,true,1.9,Comuna 12,6p,2026-08-31T15:02:22.025Z
20nlslkq4rcLo3HblBcH,matematica,geometria,true,2.7,Sin comuna,7p,2026-08-26T14:11:14.195Z
23qHJOFfRVZU8UimiOXQ,ingles,vocabulario-colores,false,1.7,Comuna 10,6p,2026-08-26T13:13:57.066Z
2EqiBYu0iPZ0v6GwEleL,ingles,vocabulario-animales,false,3.6,Comuna 10,6p,2026-08-26T13:14:13.380Z
2NFmaDn7yUn1c41kARGb,lengua,clasificacion-verbo,false,3.9,Comuna 10,5p,2026-08-26T13:22:13.781Z
