id,materia,contenido,correcto,tiempoRespuesta,comuna,nivel,fecha
5OVeNL9ISbVOnaRq7yqU,lengua,clasificacion-sustantivo,true,10.3,Comuna 10,6p,2026-08-20T13:51:21.268Z
67KhErJQn7gKoRd0RqI3,lengua,clasificacion-verbo,true,1.2,Comuna 10,6p,2026-08-20T17:17:55.887Z
6ZfDQJCsuGHG6vrm320r,lengua,clasificacion-adjetivo,true,2.6,Comuna 10,6p,2026-08-20T17:17:52.358Z
6kcLT63pKGlAY6ct455m,lengua,clasificacion-adjetivo,true,2.7,Comuna 10,6p,2026-08-20T17:17:46.736Z
AFUJEFOCPp8927Zr77Tc,matematica,fracciones-recta,true,8,Comuna 10,5p,2026-08-24T15:33:27.264Z
AP8rUSqfmBNBR1uwubvI,matematica,porcentajes,false,5.4,Comuna 6,6p,2026-08-24T15:36:11.969Z
BrOTdTpvETj9buj7A0NX,lengua,clasificacion-verbo,true,1.8,Comuna 10,6p,2026-08-20T13:51:30.716Z
DTn0LJbiq1BF5uyKNMbS,matematica,area,true,8,Comuna 6,6p,2026-08-24T15:35:55.720Z
G4E6mkzZZT93k14ybQL9,lengua,clasificacion-verbo,true,3.2,Comuna 10,6p,2026-08-20T13:51:23.927Z
H6PvWML2iJnlokVPLey8,lengua,clasificacion-sustantivo,true,2.4,Comuna 10,6p,2026-08-20T17:17:54.712Z
HCpgcQw8whFVHjIfJYta,matematica,proporcionalidad,true,14.2,Comuna 10,5p,2026-08-24T15:33:18.445Z
JRDLk6oIoISezbsc3ObV,matematica,medida,true,7.7,Comuna 10,5p,2026-08-24T15:33:55.398Z
LIXfsExD4whjVbXb0rR0,matematica,decimales,false,6.1,Comuna 10,5p,2026-08-24T15:33:35.171Z
OpxkeuABDmWLpGj8E6gK,lengua,clasificacion-verbo,true,2.2,Comuna 10,6p,2026-08-20T13:51:28.965Z
PKh1WNPk8UEthskNVBmw,lengua,clasificacion-sustantivo,true,6.9,Comuna 10,6p,2026-08-20T13:51:37.638Z
Pn3CjnSutCdiy8J4IkBX,matematica,porcentajes,false,6.8,Comuna 6,6p,2026-08-24T15:35:46.585Z
XX1Fr9X4Ra3tSzm96OvQ,lengua,clasificacion-sustantivo,true,8.1,Comuna 10,6p,2026-08-20T17:17:44.659Z
XytMQGai8qPvAKDA2xLB,matematica,perimetro,false,10.1,Comuna 10,5p,2026-08-24T15:33:46.275Z
gJkwMaJQzkiBNO50OoXG,lengua,clasificacion-adjetivo,true,2.8,Comuna 10,6p,2026-08-20T13:51:26.742Z
iMteXEHAw2iZOjCLI3Xu,lengua,clasificacion-adjetivo,false,3,Comuna 10,6p,2026-08-20T17:17:49.784Z
iQBfutEc0YTv8ym8ZSWK,matematica,fracciones,true,8.3,Comuna 6,6p,2026-08-24T15:36:05.203Z
p1s10yzSU9IvNNlkNbs9,matematica,proporcionalidad,true,6.4,Comuna 6,6p,2026-08-24T15:35:39.211Z
